,model,prior,duplicates_level,distortion_level,num_iter,precision_median,recall_median,f1score_median,precision_std,recall_std,f1score_std
181,None,uniform,Low,High,50000,0.2691312,0.85,0.4088193,0.006510659308555393,0.0,0.007514294231906135
182,None,uniform,Low,Low,10000,0.3061224,0.952381,0.4633205,0.007648142125983066,0.0,0.008776540325776065
183,None,uniform,Low,Low,50000,0.3141361,0.952381,0.4724409,0.0063583538838680636,0.0,0.007199040076799713
184,None,uniform,Medium,High,10000,0.9784171500000001,0.8398357,0.9033673,0.005754770400962084,0.00687839360763488,0.004059762954254405
185,None,uniform,Medium,High,50000,0.98469655,0.8583162,0.9166678,0.004466146785184748,0.0045478147069253376,0.003484629412509507
186,None,uniform,Medium,Low,10000,1.0,0.9191919,0.9578947,0.0014646879532855834,0.003546345270259928,0.001975738046634994
187,None,uniform,Medium,Low,50000,1.0,0.9242424,0.9606296000000001,0.0007993309449651632,0.004298003768213696,0.0023968913437979696
188,None,uniform,Very High,High,10000,1.0,0.8272971499999999,0.9054872,0.0005656071260624513,0.004131413872628515,0.0025430436708794506
189,None,uniform,Very High,High,50000,1.0,0.83467475,0.90988845,0.0,0.002604622760764912,0.001544794985205385
190,None,uniform,Very High,Low,10000,1.0,0.921762,0.9592884,0.0,0.0009168550973156387,0.0004963440343360893
191,None,uniform,Very High,Low,50000,1.0,0.921762,0.9592884,0.0,0.001105813198688957,0.0005979699607619464
