,model,prior,duplicates_level,distortion_level,num_iter,precision_median,recall_median,f1score_median,precision_std,recall_std,f1score_std,precision_lower_bound,precision_upper_bound,recall_lower_bound,recall_upper_bound,f1score_lower_bound,f1score_upper_bound
85,No Diri,uniform,Low,High,50000,0.3072289,0.85,0.4513274,0.010080595799762245,0.0,0.01082491451741622,0.2965116,0.3238642,0.85,0.85,0.4396552,0.469021905
86,No Diri,uniform,Low,Low,10000,0.3278689,0.952381,0.4878049,0.012996534958174542,0.0,0.01441320671760798,0.3036538425,0.3509918,0.952381,0.952381,0.4604739875,0.51293948
87,No Diri,uniform,Low,Low,50000,0.3370787,0.952381,0.4979253,0.010017300496980998,0.0,0.010925926848097314,0.3206808125,0.3551470925,0.952381,0.952381,0.4797811075,0.517362475
88,No Diri,uniform,Medium,High,10000,0.970935,0.8583162,0.9100823499999999,0.004654376503585816,0.005512848741478495,0.004614304608371882,0.962913155,0.978041265,0.8520533825,0.8717145825,0.9045469075,0.9208718925
89,No Diri,uniform,Medium,High,50000,0.97344785,0.8644764,0.9163952,0.004155555693827254,0.0034553169854436155,0.0028414747561368975,0.9664068299999999,0.9802451075,0.8592915649999999,0.869661235,0.91036061,0.91939
90,No Diri,uniform,Medium,Low,10000,1.0,0.9232323,0.960084,0.0007998832374658748,0.0024763990149323347,0.001430695827211353,0.9978166,1.0,0.9191919,0.928333305,0.9578947,0.962834665
91,No Diri,uniform,Medium,Low,50000,1.0,0.930303,0.96389295,0.0,0.003492944894407657,0.001877170318738449,1.0,1.0,0.9232323,0.9333333,0.960084,0.9655172
92,No Diri,uniform,Very High,High,10000,1.0,0.8490946,0.9183896,0.0002887695261568284,0.0037399565273683773,0.002177731457974703,0.999210005,1.0,0.8443997,0.8551308,0.9156364,0.9219089
93,No Diri,uniform,Very High,High,50000,1.0,0.8578135,0.9234657,0.0,0.0036429457223624904,0.002109898262975092,1.0,1.0,0.8520958825,0.8645875175,0.9201422725,0.9273761850000001
94,No Diri,uniform,Very High,Low,10000,1.0,0.921762,0.9592884,0.0,0.0010850511237531142,0.0005877878108905867,1.0,1.0,0.9197896,0.9234220875,0.9582192,0.960186585
95,No Diri,uniform,Very High,Low,50000,1.0,0.9230769,0.96,0.0,0.0009884962158301365,0.0005346365340854737,1.0,1.0,0.921762,0.9244247225,0.9592884,0.9607282549999999
96,No Empirical,Bounded NBD,High,High,10000,0.99692465,0.7733813,0.87024955,0.002403304811531748,0.008955065655611681,0.005459891281862947,0.99167723,1.0,0.7559552425,0.7861910325,0.860227125,0.8787206049999999
97,No Empirical,Bounded NBD,High,High,50000,0.9979024999999999,0.75979215,0.8627273,0.0016823059823928479,0.003223360449572534,0.0023055890841890293,0.99524475,1.0,0.7553957,0.764988,0.8596027725,0.8662056275
98,No Empirical,Bounded NBD,High,Low,10000,1.0,0.93610225,0.96699655,0.0,0.0015198955670841638,0.000810387819747261,1.0,1.0,0.9344648649999999,0.9392971,0.9661221550000001,0.9686985
99,No Empirical,Bounded NBD,High,Low,50000,1.0,0.9408946,0.9695473,0.0,0.0017689798717949545,0.0009391420522561271,1.0,1.0,0.9376597649999999,0.9441293875,0.9678268775,0.9712616825
100,No Empirical,Bounded NBD,Low,High,10000,1.0,0.7833333,0.8785047,0.007528826594341108,0.017501046919409353,0.010869191856438955,0.9793686225,1.0,0.7666667,0.8262499999999999,0.8679245,0.9046546499999999
101,No Empirical,Bounded NBD,Low,High,50000,1.0,0.7666667,0.8679245,0.0,0.009785691457981676,0.006183187568773232,1.0,1.0,0.7666667,0.7920833175,0.8679245,0.883956405
102,No Empirical,Bounded NBD,Low,Low,10000,0.9677419,0.952381,0.96,0.009002719613188248,0.0,0.004407827960425688,0.9596774275000001,0.9836066,0.952381,0.952381,0.956000025,0.9677419
103,No Empirical,Bounded NBD,Low,Low,50000,0.9836066,0.952381,0.9677419,0.00809762504216184,0.0,0.003951603453826024,0.9677419,0.9836066,0.952381,0.952381,0.96,0.9677419
104,No Empirical,Bounded NBD,Medium,High,10000,0.986927,0.80184805,0.8831194,0.004930227401339724,0.02023202688066361,0.012042624656549195,0.9786397625000001,0.9935832725,0.7493839824999999,0.814219735,0.853258615,0.8912872325000001
105,No Empirical,Bounded NBD,Medium,High,50000,0.9892037499999999,0.7782340999999999,0.8697634,0.0038866764467012154,0.024221921726756766,0.014785444202902122,0.98314497,0.99614163,0.740195065,0.8174537875,0.84770233,0.89402411
106,No Empirical,Bounded NBD,Medium,Low,10000,1.0,0.9191919,0.9578947,0.0022838541185553284,0.0017678648582251538,0.0015844742768419363,0.993341485,1.0,0.918131295,0.9232323,0.95430875,0.960084
107,No Empirical,Bounded NBD,Medium,Low,50000,1.0,0.9252525,0.9611752,0.0,0.0035463452702599024,0.0019153395329068441,1.0,1.0,0.9191919,0.9292929,0.9578947,0.9633508
108,No Empirical,Bounded NBD,Very High,High,10000,0.99674665,0.8222669,0.90130495,0.0011389141807695013,0.0028908958010860305,0.0015028537905212957,0.9951535,0.9988452274999999,0.817538565,0.8276995174999999,0.89912883,0.904192535
109,No Empirical,Bounded NBD,Very High,High,50000,0.9975884,0.832998,0.9076950500000001,0.0010680946263397332,0.003549631312789644,0.002183623978643125,0.994768745,0.998869025,0.8288732475,0.8414654874999999,0.90480359,0.9129100925
110,No Empirical,Bounded NBD,Very High,Low,10000,1.0,0.921762,0.9592884,0.0,0.0005170262492318288,0.0002797266204895657,1.0,1.0,0.921762,0.9234220875,0.9592884,0.960186585
111,No Empirical,Bounded NBD,Very High,Low,50000,1.0,0.9230769,0.96,0.0,0.0007571656757275514,0.0004096940650623584,1.0,1.0,0.921762,0.9237344,0.9592884,0.9603554
112,No Empirical,Pitman,High,High,10000,1.0,0.76778575,0.8683074,0.0013162690018621406,0.009863619105960742,0.006450091927967936,0.9968505275,1.0,0.74484413,0.775799385,0.8533519175,0.873746575
113,No Empirical,Pitman,High,High,50000,1.0,0.7569944,0.8616924,0.0018552211263506626,0.009664274876852801,0.005952199807112449,0.9952713925,1.0,0.74686251,0.77553957,0.8545301550000001,0.87234208
114,No Empirical,Pitman,High,Low,10000,1.0,0.936901,0.9674227,0.0,0.002175454835654771,0.001159918352798108,1.0,1.0,0.9337061,0.9405151700000001,0.9657166,0.969345805
115,No Empirical,Pitman,High,Low,50000,1.0,0.9392971,0.9686985,0.0,0.0028561248401507864,0.001520948706867216,1.0,1.0,0.9337061,0.942492,0.9657166,0.9703947
116,No Empirical,Pitman,Low,High,10000,1.0,0.7833333,0.8785047,0.004563412249841113,0.026087461306685038,0.016233512726159867,0.989285695,1.0,0.7412499825,0.825416665,0.8513736225,0.9043369575
117,No Empirical,Pitman,Low,High,50000,1.0,0.7666667,0.8679245,0.0,0.0183173812577189,0.011570768498622302,1.0,1.0,0.75,0.8087500175,0.8571429,0.8942405925
118,No Empirical,Pitman,Low,Low,10000,0.9836066,0.952381,0.9677419,0.009379353790438362,0.0,0.004560911317209269,0.9677419,0.992213135,0.952381,0.952381,0.96,0.9718725475
119,No Empirical,Pitman,Low,Low,50000,0.9836066,0.952381,0.9677419,0.007763557285262497,0.0,0.003788579938276456,0.9677419,0.9836066,0.952381,0.952381,0.96,0.9677419
120,No Empirical,Pitman,Medium,High,10000,0.9898213,0.7946612,0.8810459500000001,0.004275215160541141,0.016172173594167668,0.010417053799015297,0.9831715975,0.9962227725,0.7603182374999999,0.814219735,0.8608531525,0.8955700799999999
121,No Empirical,Pitman,Medium,High,50000,0.99201065,0.78542095,0.87757705,0.003718111351136147,0.02126104628151471,0.013441676157408057,0.9845503825,0.9974237300000001,0.75154,0.814322405,0.8551402,0.89509908
122,No Empirical,Pitman,Medium,Low,10000,1.0,0.9191919,0.9578947,0.0009785927896729953,0.002951297538211424,0.00171660808765577,0.99770239,1.0,0.9191919,0.92737371,0.9568382425,0.9623173899999999
123,No Empirical,Pitman,Medium,Low,50000,1.0,0.9191919,0.9578947,0.0,0.004352631080453133,0.0023514626915972178,1.0,1.0,0.9191919,0.9292929,0.9578947,0.9633508
124,No Empirical,Pitman,Very High,High,10000,1.0,0.8179074500000001,0.8997786999999999,0.001103438394758128,0.0036573730003169286,0.0022728678819303465,0.9971166275,1.0,0.811502365,0.824312535,0.8958593149999999,0.9036965025
