,model,cluster_size,num_iter,duplicates,distortion,m1,m2,m3,date
262,Both,2,50000,0.1,1,1.0,0.75,0.8571429,Tue_Mar__5_22_37_38_2024
263,Both,2,50000,0.1,1,1.0,0.75,0.8571429,Tue_Mar__5_13_56_08_2024
264,Both,2,10000,100,0,1.0,0.312952,0.4767151,Wed_Mar__6_12_09_00_2024
265,Both,2,10000,0.1,0,0.9824561,0.8888889,0.9333333,Wed_Mar__6_11_45_42_2024
266,Both,2,10000,8,0,1.0,0.3378594,0.5050746,Wed_Mar__6_13_23_07_2024
267,Both,2,10000,8,0,1.0,0.336262,0.5032875,Wed_Mar__6_12_33_55_2024
268,Both,2,10000,0.1,0,0.9655172,0.8888889,0.9256198,Wed_Mar__6_13_45_19_2024
269,Both,2,10000,100,0,1.0,0.3142669,0.4782391,Wed_Mar__6_11_45_48_2024
270,Both,2,10000,1,0,1.0,0.5373737,0.6990802,Wed_Mar__6_11_23_04_2024
271,Both,2,10000,100,0,1.0,0.312952,0.4767151,Wed_Mar__6_11_23_08_2024
272,Both,2,10000,1,0,1.0,0.5373737,0.6990802,Wed_Mar__6_13_45_21_2024
273,Both,2,10000,0.1,0,0.9824561,0.8888889,0.9333333,Wed_Mar__6_11_23_01_2024
274,Both,2,10000,100,0,1.0,0.3149244,0.479,Wed_Mar__6_13_00_32_2024
275,Both,2,10000,8,0,1.0,0.3370607,0.5041816,Wed_Mar__6_11_23_05_2024
