,model,prior,duplicates_level,distortion_level,precision,recall,f1score,date
811,No Empiri,Pitman,High,Low,1.0,0.9510977,0.974936,Fri_Mar__8_22_53_25_2024
812,No Empiri,Pitman,High,Low,1.0,0.9507949,0.9747769,Mon_Feb_12_10_07_58_2024
813,No Empiri,Pitman,High,Low,1.0,0.9507949,0.9747769,Wed_Mar__6_21_57_25_2024
814,No Empiri,Pitman,High,Low,1.0,0.9515519,0.9751746,Fri_Mar__8_13_57_05_2024
815,No Empiri,Pitman,High,Low,1.0,0.9509463,0.9748564,Wed_Mar__6_22_25_36_2024
816,No Empiri,Pitman,High,Low,1.0,0.9515519,0.9751746,Fri_Mar__8_14_37_08_2024
817,No Empiri,Pitman,High,Low,1.0,0.9526117,0.9757308,Wed_Mar__6_22_25_42_2024
818,No Empiri,Pitman,High,Low,1.0,0.9521575,0.9754925,Wed_Mar_13_00_42_23_2024
819,No Empiri,Pitman,High,Low,1.0,0.9520061,0.975413,Thu_Mar__7_20_59_42_2024
820,No Empiri,Pitman,Low,High,0.5192878,0.8373206,0.6410256,Wed_Mar__6_21_57_34_2024
821,No Empiri,Pitman,Low,High,0.5225225,0.8325359,0.6420664,Fri_Mar__8_22_54_08_2024
822,No Empiri,Pitman,Low,High,0.5208333,0.8373206,0.6422018,Wed_Mar__6_21_57_34_2024
823,No Empiri,Pitman,Low,High,0.5221239,0.84689,0.6459854,Mon_Feb_12_10_08_04_2024
824,No Empiri,Pitman,Low,High,0.5315315,0.84689,0.6531365,Fri_Mar__8_13_57_08_2024
825,No Empiri,Pitman,Low,High,0.5208333,0.8373206,0.6422018,Fri_Mar__8_14_37_17_2024
826,No Empiri,Pitman,Low,High,0.5460123,0.8516746,0.6654206,Wed_Mar__6_22_25_47_2024
