,model,cluster_size,num_iter,duplicates_level,distortion_level,precision,recall,f1score,date
269,Both,2,10000,Very High,Low,1.0,0.3142669,0.4782391,Wed_Mar__6_11_45_48_2024
271,Both,2,10000,Very High,Low,1.0,0.312952,0.4767151,Wed_Mar__6_11_23_08_2024
274,Both,2,10000,Very High,Low,1.0,0.3149244,0.479,Wed_Mar__6_13_00_32_2024
278,Both,2,10000,Very High,Low,1.0,0.3142669,0.4782391,Wed_Mar__6_12_33_58_2024
282,Both,2,10000,Very High,Low,1.0,0.3142669,0.4782391,Wed_Mar__6_13_45_25_2024
291,Both,2,10000,Very High,Low,1.0,0.312952,0.4767151,Wed_Mar__6_13_23_09_2024
321,Both,2,10000,Very High,Low,1.0,0.3136095,0.4774775,Wed_Mar__6_11_58_19_2024
323,Both,2,10000,Very High,Low,1.0,0.3136095,0.4774775,Wed_Mar__6_12_21_13_2024
324,Both,2,10000,Very High,Low,1.0,0.3136095,0.4774775,Wed_Mar__6_12_32_46_2024
327,Both,2,10000,Very High,Low,1.0,0.3142669,0.4782391,Wed_Mar__6_11_34_33_2024
337,Both,2,10000,Very High,Low,1.0,0.3142669,0.4782391,Wed_Mar__6_12_09_41_2024
345,Both,2,10000,Very High,Low,1.0,0.3142669,0.4782391,Wed_Mar__6_11_46_36_2024
347,Both,2,10000,Very High,Low,1.0,0.3142669,0.4782391,Wed_Mar__6_11_23_12_2024
376,Both,2,10000,Very High,Low,1.0,0.312952,0.4767151,Wed_Mar__6_11_23_21_2024
380,Both,2,10000,Very High,Low,1.0,0.3142669,0.4782391,Wed_Mar__6_11_47_49_2024
385,Both,2,10000,Very High,Low,1.0,0.3122945,0.4759519,Wed_Mar__6_11_59_52_2024
390,Both,2,10000,Very High,Low,1.0,0.3142669,0.4782391,Wed_Mar__6_12_11_32_2024
391,Both,2,10000,Very High,Low,1.0,0.312952,0.4767151,Wed_Mar__6_12_23_09_2024
24,Both,2,50000,High,High,0.9918256,0.2909672,0.4499382,Tue_Mar__5_20_56_42_2024
25,Both,2,50000,High,High,0.9893899,0.2981615,0.458231,Wed_Mar__6_03_44_27_2024
31,Both,2,50000,High,High,0.9891599,0.2917666,0.4506173,Wed_Mar__6_00_21_40_2024
32,Both,2,50000,High,High,0.9918919,0.2933653,0.4528069,Tue_Mar__5_17_27_59_2024
35,Both,2,50000,High,High,0.9945799,0.2933653,0.4530864,Tue_Mar__5_13_55_18_2024
42,Both,2,50000,High,High,0.9945946,0.2941647,0.4540407,Wed_Mar__6_07_09_08_2024
80,Both,2,50000,High,High,0.9892183,0.2933653,0.4525277,Tue_Mar__5_22_33_02_2024
82,Both,2,50000,High,High,0.9946237,0.2957634,0.4559458,Tue_Mar__5_16_58_29_2024
87,Both,2,50000,High,High,0.9919786,0.2965627,0.4566154,Wed_Mar__6_01_21_00_2024
88,Both,2,50000,High,High,0.9919137,0.2941647,0.4537608,Tue_Mar__5_13_55_14_2024
96,Both,2,50000,High,High,0.9920213,0.2981615,0.4585126,Wed_Mar__6_04_06_08_2024
102,Both,2,50000,High,High,0.9945799,0.2933653,0.4530864,Wed_Mar__6_06_41_44_2024
103,Both,2,50000,High,High,0.9919137,0.2941647,0.4537608,Tue_Mar__5_19_47_57_2024
136,Both,2,50000,High,High,0.9946237,0.2957634,0.4559458,Tue_Mar__5_22_08_27_2024
138,Both,2,50000,High,High,0.9919355,0.294964,0.4547135,Tue_Mar__5_17_00_08_2024
140,Both,2,50000,High,High,0.9918699,0.2925659,0.4518519,Wed_Mar__6_03_20_19_2024
144,Both,2,50000,High,High,0.9919571,0.2957634,0.455665,Wed_Mar__6_05_54_19_2024
148,Both,2,50000,High,High,0.9946237,0.2957634,0.4559458,Tue_Mar__5_13_55_25_2024
150,Both,2,50000,High,High,0.9946092,0.294964,0.4549938,Tue_Mar__5_19_35_26_2024
159,Both,2,50000,High,High,0.9919355,0.294964,0.4547135,Wed_Mar__6_00_47_37_2024
186,Both,2,50000,High,High,0.9945504,0.2917666,0.4511743,Tue_Mar__5_22_11_57_2024
189,Both,2,50000,High,High,0.9919786,0.2965627,0.4566154,Tue_Mar__5_17_00_22_2024
190,Both,2,50000,High,High,0.9946092,0.294964,0.4549938,Wed_Mar__6_00_50_12_2024
194,Both,2,50000,High,High,0.9919571,0.2957634,0.455665,Wed_Mar__6_06_07_45_2024
195,Both,2,50000,High,High,0.9918478,0.2917666,0.4508956,Wed_Mar__6_03_28_25_2024
200,Both,2,50000,High,High,0.9945799,0.2933653,0.4530864,Tue_Mar__5_13_55_40_2024
209,Both,2,50000,High,High,0.9972826,0.2933653,0.4533663,Tue_Mar__5_19_35_49_2024
238,Both,2,50000,High,High,0.9945946,0.2941647,0.4540407,Tue_Mar__5_17_26_33_2024
243,Both,2,50000,High,High,0.9946092,0.294964,0.4549938,Wed_Mar__6_01_19_11_2024
